user_id,federal_tax_bracket_percent,employment_status,liquidity_needs,total_net_worth_range,age,uuid,risk_level
28918,15.0,STUDENT,0.0,0.0,34,15ff0b4a-c1c1-479c-b5b6-7233aa6a6603,1
29284,25.0,EMPLOYED,0.5,0.25,29,30e134f0-bdb1-4bb0-b124-a504ecbb6678,2
29688,25.0,EMPLOYED,0.5,0.75,31,4d370c10-5934-40fb-bf62-9062cf3a5060,2
29808,25.0,EMPLOYED,0.5,0.5,27,374ce16b-ab77-4308-89b7-de4e110aa88e,2
30331,28.0,EMPLOYED,0.0,0.5,36,20245fe0-7027-45b0-b1a7-7fe829540027,2
31404,15.0,EMPLOYED,0.5,0.0,23,2e1034db-54d6-4167-afba-da9125f825da,1
31947,15.0,EMPLOYED,0.5,0.25,24,47f97b39-0005-4f51-9aba-1a1f7aa2344d,2
32909,25.0,EMPLOYED,1.0,0.25,33,3352af49-dc8c-4f01-a319-b8cdc1c99d2f,2
34034,28.0,EMPLOYED,0.5,0.5,40,3d0a9813-b3e0-418a-ab9a-e3f6bcc0d5e1,2
34547,28.0,EMPLOYED,1.0,0.75,24,4b91821e-8181-473a-9a29-8b4461e75d19,2
36095,25.0,EMPLOYED,0.0,0.5,34,375a22e0-bf74-4b32-9e0f-5cf8a8a130bd,2
36767,25.0,EMPLOYED,0.5,0.25,27,288ac02b-cce3-44b4-9b79-6630bc5b7c09,2
37506,25.0,EMPLOYED,1.0,0.0,36,376fee5f-2e36-4da0-82ec-df3aef2c7551,2
39406,25.0,STUDENT,0.5,1.0,41,4dac838e-4ac0-41bc-b506-57ad3e71fcf6,2
41232,15.0,STUDENT,0.0,0.0,23,177d0aeb-c6ee-4229-911e-7b7d37c76fb3,2
41803,15.0,UNEMPLOYED,1.0,0.25,27,28f67f8e-456a-430e-824d-d71a509d129b,2
41842,28.0,EMPLOYED,0.0,1.0,36,3fe6c421-b2da-4c84-bc0f-2fd028411871,3
42142,25.0,EMPLOYED,0.0,0.5,25,3da8b164-9e45-4639-9fc5-b6054ba9ae54,3
45091,25.0,EMPLOYED,0.0,0.5,33,24cbe3b8-22e3-445e-a694-0039cf8a6bb4,2
45132,25.0,EMPLOYED,1.0,0.5,31,46764e2f-fcfa-45c3-a3bd-4058f252fdea,2
47432,28.0,EMPLOYED,0.0,1.0,42,4d547007-0a71-479f-8273-7d8d99f91e1e,3
48030,28.0,EMPLOYED,1.0,0.25,34,28fefb61-8130-4cb1-b669-6bba6b994829,2
48827,25.0,EMPLOYED,0.0,0.0,30,21f0c0b3-abb2-40fd-98f1-4491b3624848,2
49071,28.0,EMPLOYED,1.0,0.5,55,41d3d15c-68ad-4ab9-b612-0554736788ab,2
49076,15.0,UNEMPLOYED,0.0,0.75,41,308da1ed-d159-48c7-ae08-1694abb483db,2
49118,15.0,STUDENT,1.0,0.0,31,2ece8de0-7d42-46c5-aa1f-33932c60dd9e,1
49729,25.0,EMPLOYED,1.0,0.0,34,150d100e-d1cd-43ba-8ff0-dcf0c96cc122,2
49840,28.0,EMPLOYED,1.0,0.0,30,40ec0152-9aa3-42a3-b31f-c772c469fb99,2
50111,25.0,EMPLOYED,0.0,0.75,32,176dd18b-f4de-4a56-8620-c58abdbba4a7,2
50625,25.0,EMPLOYED,0.5,0.25,34,20a84586-0f22-4ff3-b37d-237d7a5e2907,2
50713,25.0,UNEMPLOYED,0.5,0.5,35,2053c90f-7e78-46fd-8889-139503b2166a,2
52359,28.0,EMPLOYED,0.0,0.25,40,13dd7aaa-0854-4985-86d3-b92bb71d455d,3
52904,15.0,EMPLOYED,1.0,0.0,21,2d887d4c-810b-451c-9e07-a7faaaaf31de,1
53186,15.0,EMPLOYED,1.0,0.25,25,3f7679cc-5f67-4ac0-8006-397a98c1ffff,2
53247,28.0,EMPLOYED,0.0,0.25,28,3ef489b7-e353-4e63-b0bd-4234802b1e80,2
54986,25.0,EMPLOYED,0.5,0.25,26,216a648a-e4b8-42a3-8d79-5a8f98edfdbb,2
55962,25.0,EMPLOYED,1.0,0.0,27,3de0f501-d857-408a-8ca7-206818336821,1
56345,25.0,EMPLOYED,0.0,0.0,27,2a9c34b2-63e1-4eb3-843f-17c2892f6a3f,2
56387,15.0,EMPLOYED,0.0,0.5,29,4689f79e-4216-41c4-b1c7-92d9812680d8,2
57246,25.0,EMPLOYED,0.0,0.0,29,21a7fb5d-dacd-4402-bb5d-5e71a2805a84,2
57636,25.0,EMPLOYED,0.0,0.25,29,4247355f-60e7-4232-96ff-53e284d26e29,2
58691,28.0,EMPLOYED,0.5,0.25,30,41c827c8-9906-4067-9290-bb1d5c31ed63,2
58785,28.0,EMPLOYED,0.5,0.0,29,49aceb53-ec43-4719-93fd-173465136bbb,2
59239,28.0,EMPLOYED,0.0,0.0,31,1d24ff1a-90e9-4213-b376-32a3789b6e64,2
60911,15.0,EMPLOYED,1.0,0.0,31,45adb2a4-e8c8-4823-acc1-f29782bc5956,2
61949,28.0,EMPLOYED,0.0,1.0,45,39772ee7-0d6e-4ccc-9eab-74318dbe4f6a,3
62742,28.0,EMPLOYED,0.5,0.0,41,1e5477df-4eb5-46e8-bf33-496405bbd490,2
63380,25.0,EMPLOYED,0.5,0.0,28,4f4f0740-e303-4436-82f0-5814bbf750cd,2
63539,28.0,EMPLOYED,0.5,1.0,31,2b4d6829-acfe-4283-89d9-df54d091dcda,3
64519,25.0,EMPLOYED,1.0,0.0,26,1c6783ac-e044-4070-8224-8cf0617c1cbe,1
65365,28.0,EMPLOYED,0.0,0.0,34,18b565d7-4c9f-4169-9c3e-76896e0b984e,2
65475,28.0,EMPLOYED,1.0,0.5,29,17f9bab2-9ae2-4160-b4ed-f09edc4021db,2
65864,28.0,EMPLOYED,0.5,0.75,32,1a55b135-d0f5-4b0a-b772-35e597e55595,2
67464,25.0,EMPLOYED,0.5,0.25,28,2ee6a7ea-83c1-4a89-b1e5-5618eedb4a4a,2
67995,15.0,EMPLOYED,1.0,0.0,24,3f982bb6-52d8-448a-bf70-60ed588721e4,2
68006,15.0,STUDENT,0.5,0.0,25,3bdfae14-e8f8-4048-8ed4-a410c46b41b3,1
68295,25.0,EMPLOYED,1.0,0.0,29,394546ad-244e-4500-be23-7ccaa82269cc,2
68414,15.0,EMPLOYED,1.0,0.25,26,435a1c8c-45c6-42a9-9223-5a0bbc813141,2
68686,15.0,EMPLOYED,1.0,0.0,32,3882673d-dd40-4f84-9b7c-1b91ee8514d1,1
69303,28.0,EMPLOYED,0.0,1.0,47,2a93cc51-9e65-4cac-a5dd-157530cea2e3,3
70405,28.0,EMPLOYED,0.0,0.75,22,3c3cd508-aa37-4fa1-8243-746885d569f6,3
71258,15.0,STUDENT,0.5,0.0,25,31e4ea28-7db3-4c84-ad4c-b44ab2d93b51,1
71274,15.0,EMPLOYED,0.5,0.0,42,432ffd86-ace5-48cc-be92-e91b13d8f6dc,2
71323,25.0,EMPLOYED,0.0,0.0,43,3c8fbff5-1522-4614-a812-f9e280993f79,2
72842,28.0,EMPLOYED,1.0,0.5,27,35cfa92b-a920-4ad3-b781-91dfc27dd140,2
73122,25.0,EMPLOYED,0.0,0.25,27,32b845ea-7c3f-4b32-9a4a-82fbcbb99ab9,2
74910,25.0,EMPLOYED,1.0,0.0,44,2160ed47-7f12-4545-82c6-c1f9879cd4e7,1
75032,25.0,EMPLOYED,0.0,0.0,25,3595365e-64ef-4721-b003-7071d30661ec,2
75771,15.0,STUDENT,0.5,0.0,24,38f04b58-7796-4447-97d6-95cdd6dbc3b3,2
76414,25.0,EMPLOYED,0.0,0.25,36,1b4a3386-a56b-480f-8769-1798cd71c681,2
77294,25.0,EMPLOYED,0.5,0.0,28,46fc2583-ac2e-4c23-93ac-1d03b2e58c2b,2
77461,28.0,EMPLOYED,0.0,0.0,28,1aee7229-47b6-4013-a34c-3df4048c89ef,2
77717,28.0,EMPLOYED,0.5,0.5,27,279e1648-66c0-4aa6-9e82-1d10e805e9b6,2
79345,28.0,EMPLOYED,0.0,0.25,35,3b6b2f6d-0bf4-4f1f-8182-69b8e6cacb0e,2
83024,25.0,EMPLOYED,0.5,0.0,32,32029218-adc8-49d5-afc3-dfa5f1e3e828,2
84816,15.0,EMPLOYED,0.0,0.25,44,1a63dc4b-0b8a-4d14-8435-8c70a75f6bad,2
86217,28.0,EMPLOYED,0.0,0.5,52,402f55ee-3470-4cbc-8670-8085308618a2,3
87699,28.0,EMPLOYED,1.0,0.25,31,48a5242f-55d2-4a10-8a6b-36904045f5f7,2
88472,28.0,EMPLOYED,0.5,0.5,29,28b0b978-11aa-46c5-84c5-ddb3abf00011,2
89705,25.0,EMPLOYED,1.0,0.75,27,12b79c60-c60d-476d-82b7-f1ce35e32fe4,2
90865,25.0,EMPLOYED,0.5,0.0,28,2ddcb832-6341-4b44-b4be-5c7837cbf354,2
92038,25.0,EMPLOYED,0.0,0.25,37,2844aab1-c1fb-4227-90bb-aed023df481a,2
92581,15.0,STUDENT,0.0,0.0,21,277dd007-77f6-4dd8-b639-887d46fe90c2,1
92994,15.0,STUDENT,1.0,0.0,22,141fedac-d459-4b80-a788-1e20851c5750,1
93431,15.0,EMPLOYED,0.5,0.0,30,4bf03a0e-c8b0-486d-bb8a-6802f1211035,2
94030,25.0,EMPLOYED,0.0,0.0,25,2040fd74-0eb4-4199-8029-ffca27439e5e,2
94522,28.0,EMPLOYED,0.0,0.0,24,1dd43796-620d-4ff6-bf4b-1ef986491515,3
95047,28.0,EMPLOYED,0.0,0.5,36,1fcc456d-f68e-4f1a-8705-228b3f834cf2,3
95352,28.0,EMPLOYED,0.5,0.5,36,45c5a07b-97c5-4ca1-8eb9-bfcc1acad956,2
95647,15.0,STUDENT,0.5,0.0,24,41f3b1c5-b1cc-44cc-a4d6-66a2237772fe,1
97350,25.0,EMPLOYED,0.0,0.0,24,3cf79ba1-3a4c-4813-9bc8-564514e58626,2
99128,15.0,EMPLOYED,1.0,0.0,30,30c6c3b1-4525-4506-8216-67859478f9a4,1
99221,15.0,EMPLOYED,1.0,0.0,32,37929d82-ab5b-43af-a53a-f9ee7c7c57ce,1
99571,28.0,EMPLOYED,0.0,1.0,39,12d76a9b-1717-4871-a83f-fce7af6120a9,3
99938,25.0,EMPLOYED,1.0,0.0,25,3467d2cf-9ce4-44f3-b131-96e47f07d48d,1
100031,15.0,STUDENT,0.0,0.0,25,322e4f24-c598-4767-9a20-f7f67e91737c,2
100465,28.0,EMPLOYED,1.0,0.25,35,2f524266-7286-4ed8-b236-ba6bb057a0df,2
100710,25.0,EMPLOYED,1.0,0.25,41,24bfa94a-001c-4b35-a875-419ce74e5b5d,2
100868,15.0,STUDENT,1.0,0.0,24,32e947b4-cf43-4611-9a7a-a9f1292c0c62,1
102784,28.0,EMPLOYED,0.0,0.5,40,12dcd88c-7279-45b5-82f2-0cb3ae450d05,2
103258,15.0,EMPLOYED,0.5,0.0,25,1f9bf757-0d4b-4573-aedd-eef49baa5e2d,1
104103,25.0,EMPLOYED,0.0,0.25,29,3e8ee7c0-8aa1-4da3-ba92-69b616189ccf,2
104195,28.0,EMPLOYED,0.0,0.5,29,4c3c94db-1ca9-41b5-ae9d-db1ee56f08b3,2
105403,15.0,UNEMPLOYED,1.0,0.0,32,11383202-99b4-4a7b-a341-e8c705ea9701,2
106501,25.0,EMPLOYED,0.0,0.5,34,2e467ff7-b5cc-4491-a829-f80cc250c7ac,2
107544,25.0,EMPLOYED,1.0,0.0,32,2ad016c2-a492-414b-856b-c59e024d9bce,1
107659,28.0,EMPLOYED,1.0,0.5,31,4e1ac81e-b895-4454-82d5-11c27476e81f,2
108355,25.0,EMPLOYED,1.0,0.25,24,45a97f79-58ff-42b5-a172-5f2fc6adf1ae,2
108933,25.0,STUDENT,0.5,0.25,26,16d25a52-3aa8-4301-a813-3927dcb477cd,2
109011,25.0,EMPLOYED,0.0,0.0,35,192c58d6-8b5f-47f0-ac08-d9ba5e3a1150,2
109114,28.0,EMPLOYED,0.0,0.25,32,37059d57-b581-4e90-b16e-0de8949a8a49,3
109634,28.0,EMPLOYED,0.5,0.5,37,235b59fb-325f-4cec-87dd-4535186539ca,2
111070,28.0,EMPLOYED,0.5,0.0,32,4f501435-2bac-4c2c-a02e-b2d18ccc6f31,2
111725,28.0,EMPLOYED,0.5,0.5,40,149d0b1c-ce00-4d94-8547-e7e6bbfcb45c,2
111808,28.0,EMPLOYED,0.0,0.75,34,3aff35c9-c416-4820-8ed8-f1c60f4dc86a,3
114679,15.0,EMPLOYED,0.5,0.0,26,106c1c4a-2844-4686-8b1d-7f9f480e0821,1
116395,25.0,UNEMPLOYED,0.5,0.0,30,37ca4005-63db-4791-9922-bffedfb49f33,2
116832,25.0,EMPLOYED,1.0,0.5,31,3bfeb0fa-f7de-4f95-967a-cf89030b14a5,2
118592,25.0,EMPLOYED,0.0,0.5,28,1c63c454-cd93-47f7-b1f3-530698ff29ad,3
119042,25.0,EMPLOYED,0.5,0.0,35,36fee650-6979-4656-8c1d-5bde12427294,2
120250,15.0,EMPLOYED,0.5,0.25,23,2df8006d-fbdf-4ab3-88db-b55e7e14848a,2
