id,name,description,underlying_security,ticker_symbol,last_price,dividend_rate_percent,expense_ratio_percent,one_day_change_percent,year_to_date_change_percent,created_at,updated_at,risk_level,fund_url,inception,last_refresh,long_description,cusip,start_of_year_price,start_of_year_price_year,learn_post_id,inception_price,tags,investment_type,color_code
55,Alibaba,The Chinese technology conglomerate operates the planet's largest retail marketplace by volume.,Alibaba Group Holding Limited,BABA,187.48,0.0,0.0,0.12,8.73,2018-03-02 21:20:54.336643,2018-07-23 14:30:41.598410,1,http://www.alibabagroup.com/en/ir/home,09/14/2014,2018-07-23 14:15:39.000000,"In 1999, former English teacher Jack Ma started Alibaba in a Hangzhou apartment. Focused on building the future infrastructure of commerce, his brain-child now dominates Chinese retail and operates in 200 countries. This is a direct investment in Alibaba stock.",01609W102,172.43,2018,,,['Alibaba'],STOCK,ff6a00
74,Electronic Arts,America's second largest game company aims to champion players above all else.,"Electronic Arts, Inc.",EA,146.66,0.0,,-0.56,39.6,2018-04-23 16:57:08.118412,2018-07-23 14:30:41.604979,1,http://investors.ea.com,10/06/89,2018-07-23 14:15:37.000000,"Since 1982, gaming pioneer Electronic Arts (EA) has campaigned a stellar roster that now includes FIFA, Madden, NHL, NCAA Football, NBA Live, SSX, Battlefield, Need for Speed, The Sims, Command & Conquer, Mass Effect, Dragon Age, and more. This is a direct investment in EA stock.",285512109,105.06,2018,,,['Electronic Arts'],STOCK,ff2720
88,Pfizer,This company holds many of the world's best-known healthcare brands in its global portfolio.,"Pfizer, Inc",PFE,37.33,3.54,0.0,0.0,4.01,2018-05-08 19:05:06.378544,2018-07-23 14:30:41.611497,1,https://investors.pfizer.com/investors-overview/default.aspx,01/13/1978,2018-07-23 14:15:39.000000,"To get your hands on a Pfizer product, look no further than your medicine cabinet. This pharmaceutical company's global portfolio includes consumer healthcare mega-brands like Advil, Emergen-C, Nexium, Thermacare, and Chapstick. This is a direct investment in Pfizer stock. ",717081103,35.89,2018,,,[''],STOCK,0093d0
101,Wells Fargo,This major banking and financial services corporation serves one in three U.S. households.,Wells Fargo & Company,WFC,57.09,2.77,0.0,1.2,-4.63,2018-05-21 21:12:00.989334,2018-07-23 14:30:41.618093,1,https://www.wellsfargo.com/about/investor-relations/filings/,01/13/1978,2018-07-23 14:15:38.000000,"Wells Fargo has over 260k employees, $2 trillion in assets, and serves one in three U.S. households. This corporation offers a wide range of financial services and was ranked 5th on Forbes 2017 ""Biggest Public Company in the World"" list. This is a direct investment in Wells Fargo stock.    ",949746747,59.86,2018,,,['Wells Fargo'],STOCK,bb0726
112,Abbott Laboratories,"As of 2017, this diversified healthcare company had paid quarterly dividends for 94 years.",Abbott Laboratories,ABT,63.23,1.75,0.0,-0.15,11.85,2018-05-30 17:31:23.665722,2018-07-23 14:30:41.624529,1,http://www.abbott.com/investors.html,01/13/1978,2018-07-23 14:15:39.000000,"Abbott Laboratories may be best known for its nutritional products division which include Pedialyte and Ensure. However, the company also boasts robust generic drug, diagnostic product, and medical device divisions. This is a direct investment in Abbott Laboratories stock.",002824100,56.53,2018,,,['Abbott Laboratories'],STOCK,019cde
90,AT&T,"With $163 billion in annual sales, this telecom giant was recently crowned ""world's biggest.""",AT&T Inc,T,30.85,6.4,0.0,-0.82,-18.45,2018-05-08 19:05:55.437958,2018-07-23 14:30:41.630883,1,https://investors.att.com/investor-profile,07/19/1984,2018-07-23 14:15:38.000000,"AT&T was already named the biggest—now it wants to be the best. With talk, text, and data coverage offered in over 200 countries, the telecom giant is on a mission to create the best entertainment and communications experiences in the world. This is a direct investment in AT&T stock.",00206R102,37.83,2018,,,[''],STOCK,00a8e0
80,McDonald's,"Known for its ""Golden Arches,"" the world's top restaurant chain serves 69 million every day.",McDonald's Corporation,MCD,157.87,2.51,0.0,-0.07,-7.7,2018-04-25 22:04:07.250122,2018-07-23 14:30:41.637250,1,http://corporate.mcdonalds.com/corpmcd/investors-relations/company-profile.html,04/21/1965,2018-07-23 14:15:17.000000,"What started as hamburger stand in 1940 is now the world's largest restaurant chain, with more than 36,000 locations in 100+ countries. Every day, the fast food giant serves 69 million people—that's 25 billion customers per year. This is a direct investment in McDonald's stock.",580135101,171.04,2018,,,"[""McDonald's""]",STOCK,bf0c0c
113,Bristol-Myers Squibb,This global biopharmaceutical company has a centuries-long history of fighting serious diseases.,Bristol-Myers Squibb Company,BMY,55.52,2.8,0.0,-2.11,-8.22,2018-05-30 17:32:26.354657,2018-07-23 14:30:41.643540,1,https://www.bms.com/investors.html,01/13/1978,2018-07-23 14:15:39.000000,"In 1989, the 102 year-old Bristol-Myers Co. merged with the 131 year-old Squibb Corp. to form Bristol-Myers Squibb. With over 250 years of history, the biopharmaceutical company now makes drugs to treat the world's most serious diseases. This is a direct investment in Bristol-Myers Squibb stock.",110122108,60.49,2018,,0.65,['Bristol-Myers Squibb'],STOCK,006ca7
52,NVIDIA,The pioneer of advanced computing builds the processors that fuel the AI revolution.,NVIDIA Corporation,NVDA,246.3,0.24,0.0,-1.83,27.37,2018-02-22 21:29:07.223305,2018-07-23 14:30:41.650049,1,http://investor.nvidia.com/home/default.aspx,01/29/1999,2018-07-23 14:15:40.000000,"The world's most demanding computer users—gamers, designers, and scientists—trust NVIDIA's GPU-accelerated computing to power groundbreaking software like AI, VR, blockchain, and autonomous driving. This is a direct investment in NVIDIA stock.",67066G104,193.38,2018,,1.47,['Nvidia'],STOCK,8cc63e
46,Amazon,The world's first online commerce giant now has its hand in countless industries.,"Amazon.com, Inc.",AMZN,1798.64,0.0,0.0,-0.83,53.8,2018-02-22 17:22:25.430456,2018-07-23 14:30:41.660247,1,http://phx.corporate-ir.net/phoenix.zhtml%3Fc%3D97664%26p%3Dirol-irhome,5/15/1997,2018-07-23 14:15:35.000000,"In 1994, current CEO Jeff Bezos started an online bookstore in his garage. Ever since, Amazon has obsessed over its customers (not competitors) and prioritized long-term thinking over short-term profits. This is a direct investment in Amazon stock.",023135106,1169.47,2018,,1.73,['Amazon'],STOCK,e8e8e8
